,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,softmaxBeta2.5_2,None,46.84761026599459,13,13,11,8,7,14,"[0, 78023, 1, 78023, 1, 78023, 1]","[(7, 14), [7, 13], [8, 13], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
1,softmaxBeta2.5_2,-5,113.19859051364818,11,8,12,14,13,13,"[1, 78027]","[(13, 13), [12, 13], [12, 14]]","[(-1, 0), (0, 1)]","[0, 2]",2
2,softmaxBeta2.5_2,3,46.84761026599459,11,8,6,10,12,14,"[0, 78031, 0, 78031, 1, 78031, 1]","[(12, 14), [12, 13], [11, 13], [11, 12], [11, 11], [11, 10], [11, 9], [11, 8]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 1, 1]",1
3,softmaxBeta2.5_2,0,74.93151184050778,6,10,8,4,11,8,"[0, 78035, 1, 78035, 1, 78035, 1]","[(11, 8), [10, 8], [10, 7], [10, 6], [10, 5], [10, 4], [9, 4], [8, 4]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[0, 2, 2, 2, 2, 0, 0]",2
4,softmaxBeta2.5_2,1,57.094757077012105,6,10,12,9,8,4,"[1, 78039, 1, 78039, 1, 78039, 1, 78039]","[(8, 4), [8, 5], [8, 6], [7, 6], [7, 7], [7, 8], [6, 8], [6, 9], [6, 10]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]","[0, 0, 1, 0, 0, 1, 0, 1]",1
5,softmaxBeta2.5_2,-3,62.10272896905237,12,9,7,7,6,10,"[0, 78044, 0, 78044]","[(6, 10), [7, 10], [7, 9], [7, 8], [7, 7]]","[(1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 2, 2]",2
6,softmaxBeta2.5_2,1,66.80140948635182,12,9,11,3,7,7,"[0, 78048, 0, 78048, 0, 78048, 1]","[(7, 7), [7, 8], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 1, 0, 0, 0, 0, 1]",1
7,softmaxBeta2.5_2,-5,125.5376777919744,11,3,11,10,12,9,"[0, 78052]","[(12, 9), [11, 9], [11, 10]]","[(-1, 0), (0, 1)]","[0, 2]",2
8,softmaxBeta2.5_2,1,45.0,11,3,7,6,11,10,"[0, 78056, 0, 78056, 0, 78056, 0]","[(11, 10), [11, 9], [11, 8], [11, 7], [11, 6], [11, 5], [11, 4], [11, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 1, 1, 1]",1
9,softmaxBeta2.5_2,3,39.0938588862295,7,6,9,11,11,3,"[0, 78060, 0, 78060, 0, 78060, 0]","[(11, 3), [11, 4], [10, 4], [10, 5], [10, 6], [9, 6], [8, 6], [7, 6]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
10,softmaxBeta2.5_2,3,66.80140948635182,9,11,2,11,7,6,"[1, 78063, 1, 78063, 1, 78063, 1]","[(7, 6), [8, 6], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [9, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 1, 0, 0, 0, 0, 0]",1
