,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,softmaxBeta0.5_5,None,23.962488974578164,10,1,13,5,1,5,"[0, 41699, 0, 41699, 0, 41700, 0, 41700, 0, 41700, 0, 41700]","[(1, 5), [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [12, 5], [13, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2
1,softmaxBeta0.5_5,3,39.0938588862295,10,1,5,3,13,5,"[1, 41703, 1, 41703, 1, 41703, 1]","[(13, 5), [13, 4], [12, 4], [11, 4], [10, 4], [10, 3], [10, 2], [10, 1]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 1, 1]",1
2,softmaxBeta0.5_5,1,49.76364169072618,5,3,8,7,10,1,"[0, 41708, 0, 41708, 0, 41708, 1]","[(10, 1), [10, 2], [10, 3], [9, 3], [8, 3], [7, 3], [6, 3], [5, 3]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 1, 1, 1]",1
3,softmaxBeta0.5_5,1,81.86989764584403,8,7,1,7,5,3,"[0, 41712, 0, 41712, 0, 41713, 0, 41713]","[(5, 3), [4, 3], [3, 3], [2, 3], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[2, 2, 2, 2, 0, 0, 0, 0]",2
4,softmaxBeta0.5_5,-5,45.0,8,7,2,6,1,7,"[0, 41716]","[(1, 7), [2, 7], [2, 6]]","[(1, 0), (0, -1)]","[0, 2]",2
5,softmaxBeta0.5_5,-5,125.5376777919744,8,7,1,7,2,6,"[1, 41719]","[(2, 6), [2, 7], [1, 7]]","[(0, 1), (-1, 0)]","[0, 2]",2
6,softmaxBeta0.5_5,-1,45.0,8,7,4,4,1,7,"[0, 41723, 0, 41723, 1, 41723]","[(1, 7), [2, 7], [3, 7], [4, 7], [4, 6], [4, 5], [4, 4]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 2, 2, 2]",2
7,softmaxBeta0.5_5,3,39.0938588862295,8,7,6,12,4,4,"[0, 41727, 0, 41727, 1, 41727, 1]","[(4, 4), [4, 5], [5, 5], [6, 5], [6, 6], [7, 6], [7, 7], [8, 7]]","[(0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]","[0, 0, 0, 0, 1, 0, 1]",1
8,softmaxBeta0.5_5,-1,66.80140948635182,6,12,11,10,8,7,"[0, 41731, 0, 41731, 1, 41731]","[(8, 7), [9, 7], [9, 8], [9, 9], [9, 10], [10, 10], [11, 10]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]","[2, 0, 0, 0, 2, 2]",2
9,softmaxBeta0.5_5,5,16.606980578617005,6,12,0,11,11,10,"[0, 41735, 0, 41736, 0, 41736, 0]","[(11, 10), [11, 11], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [6, 12]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 1, 0, 0, 0, 0, 0]",1
10,softmaxBeta0.5_5,0,58.736268305622566,0,11,4,7,6,12,"[0, 41739, 1, 41739, 1, 41739, 1]","[(6, 12), [6, 11], [5, 11], [4, 11], [3, 11], [2, 11], [1, 11], [0, 11]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 1, 1, 1, 1]",1
11,softmaxBeta0.5_5,-3,78.69006752597979,4,7,3,13,0,11,"[0, 41744, 0, 41744, 0]","[(0, 11), [1, 11], [2, 11], [2, 12], [2, 13], [3, 13]]","[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0)]","[0, 0, 2, 2, 0]",2
12,softmaxBeta0.5_5,-5,125.5376777919744,4,7,4,14,3,13,"[1, 41747]","[(3, 13), [4, 13], [4, 14]]","[(1, 0), (0, 1)]","[0, 2]",2
13,softmaxBeta0.5_5,-3,45.0,4,7,6,12,4,14,"[0, 41751, 0, 41752]","[(4, 14), [4, 13], [4, 12], [5, 12], [6, 12]]","[(0, -1), (0, -1), (1, 0), (1, 0)]","[0, 0, 2, 2]",2
14,softmaxBeta0.5_5,0,74.93151184050778,4,7,10,9,6,12,"[0, 41755, 0, 41756, 0, 41756, 0]","[(6, 12), [6, 11], [5, 11], [5, 10], [4, 10], [4, 9], [4, 8], [4, 7]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1)]","[0, 1, 0, 1, 0, 1, 1]",1
15,softmaxBeta0.5_5,3,58.240519915187214,10,9,10,2,4,7,"[0, 41759, 1, 41759, 1, 41759, 1, 41759]","[(4, 7), [4, 8], [5, 8], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9]]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 0, 1, 0, 0, 0, 0, 0]",1
16,softmaxBeta0.5_5,1,45.0,10,2,6,5,10,9,"[1, 41763, 1, 41763, 1, 41763, 1, 41764]","[(10, 9), [9, 9], [8, 9], [7, 9], [7, 8], [7, 7], [6, 7], [6, 6], [6, 5]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1)]","[2, 2, 2, 0, 0, 2, 0, 0]",2
17,softmaxBeta0.5_5,0,106.26020470831197,10,2,2,2,6,5,"[0, 41768, 0, 41768, 1, 41768, 1]","[(6, 5), [7, 5], [7, 4], [8, 4], [8, 3], [8, 2], [9, 2], [10, 2]]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0)]","[1, 0, 1, 0, 0, 1, 1]",1
18,softmaxBeta0.5_5,5,40.60129464500447,2,2,3,8,10,2,"[0, 41772, 0, 41772, 1, 41772, 1, 41772]","[(10, 2), [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 0, 1]",1
